lensfiletime_utc	time_kst	value
2016-05-01 0:00:00	201605011300	1.24
2016-05-01 0:00:00	201605011400	1.22
2016-05-01 0:00:00	201605011500	1.2
2016-05-01 0:00:00	201605011600	1.2
2016-05-01 0:00:00	201605011700	1.2
2016-05-01 0:00:00	201605011800	1.21
2016-05-01 0:00:00	201605011900	1.24
2016-05-01 0:00:00	201605012000	1.28
2016-05-01 0:00:00	201605012100	1.35
2016-05-01 0:00:00	201605012200	1.43
2016-05-01 0:00:00	201605012300	1.54
2016-05-01 0:00:00	201605020000	1.65
2016-05-01 0:00:00	201605020100	1.8
2016-05-01 0:00:00	201605020200	1.98
2016-05-01 0:00:00	201605020300	2.22
2016-05-01 0:00:00	201605020400	2.53
2016-05-01 0:00:00	201605020500	2.96
2016-05-01 0:00:00	201605020600	3.53
2016-05-01 0:00:00	201605020700	4.16
2016-05-01 0:00:00	201605020800	4.74
2016-05-01 0:00:00	201605020900	5.2
2016-05-01 0:00:00	201605021000	5.52
2016-05-01 0:00:00	201605021100	5.74
2016-05-01 0:00:00	201605021200	5.97
2016-05-01 0:00:00	201605021300	6.22
2016-05-01 0:00:00	201605021400	6.53
2016-05-01 0:00:00	201605021500	6.86
2016-05-01 0:00:00	201605021600	7.2
2016-05-01 0:00:00	201605021700	7.56
2016-05-01 0:00:00	201605021800	8.63
2016-05-01 0:00:00	201605021900	10.46
2016-05-01 0:00:00	201605022000	15.55
2016-05-01 0:00:00	201605022100	25.97
2016-05-01 0:00:00	201605022200	39.32
2016-05-01 0:00:00	201605022300	50.2
2016-05-01 0:00:00	201605030000	53.87
2016-05-01 0:00:00	201605030100	51.11
2016-05-01 0:00:00	201605030200	46.78
2016-05-01 0:00:00	201605030300	45.17
2016-05-01 0:00:00	201605030400	50.69
2016-05-01 0:00:00	201605030500	74.76
2016-05-01 0:00:00	201605030600	134.28
2016-05-01 0:00:00	201605030700	211.15
2016-05-01 0:00:00	201605030800	235.02
2016-05-01 0:00:00	201605030900	200.27
2016-05-01 0:00:00	201605031000	157.02
2016-05-01 0:00:00	201605031100	118.62
2016-05-01 0:00:00	201605031200	88.89
2016-05-01 0:00:00	201605031300	67.69
2016-05-01 0:00:00	201605031400	52.87
2016-05-01 0:00:00	201605031500	42.38
2016-05-01 0:00:00	201605031600	34.81
2016-05-01 0:00:00	201605031700	29.22
2016-05-01 0:00:00	201605031800	25.01
2016-05-01 0:00:00	201605031900	21.79
2016-05-01 0:00:00	201605032000	19.29
2016-05-01 0:00:00	201605032100	17.32
2016-05-01 0:00:00	201605032200	15.75
2016-05-01 0:00:00	201605032300	14.48
2016-05-01 0:00:00	201605040000	13.44
2016-05-01 0:00:00	201605040100	12.58
2016-05-01 0:00:00	201605040200	11.87
2016-05-01 0:00:00	201605040300	11.27
2016-05-01 0:00:00	201605040400	10.78
2016-05-01 0:00:00	201605040500	10.35
2016-05-01 0:00:00	201605040600	9.99
2016-05-01 0:00:00	201605040700	9.69
2016-05-01 0:00:00	201605040800	9.42
2016-05-01 0:00:00	201605040900	9.19
2016-05-01 0:00:00	201605041000	8.99
2016-05-01 0:00:00	201605041100	8.82
2016-05-01 0:00:00	201605041200	8.66
2016-05-01 0:00:00	201605041300	8.53
2016-05-01 0:00:00	201605041400	8.4
2016-05-01 12:00:00	201605020100	1.13
2016-05-01 12:00:00	201605020200	1.11
2016-05-01 12:00:00	201605020300	1.1
2016-05-01 12:00:00	201605020400	1.09
2016-05-01 12:00:00	201605020500	1.1
2016-05-01 12:00:00	201605020600	1.12
2016-05-01 12:00:00	201605020700	1.15
2016-05-01 12:00:00	201605020800	1.19
2016-05-01 12:00:00	201605020900	1.26
2016-05-01 12:00:00	201605021000	1.35
2016-05-01 12:00:00	201605021100	1.46
2016-05-01 12:00:00	201605021200	1.58
2016-05-01 12:00:00	201605021300	1.74
2016-05-01 12:00:00	201605021400	1.95
2016-05-01 12:00:00	201605021500	2.32
2016-05-01 12:00:00	201605021600	2.89
2016-05-01 12:00:00	201605021700	3.85
2016-05-01 12:00:00	201605021800	5.43
2016-05-01 12:00:00	201605021900	7.54
2016-05-01 12:00:00	201605022000	9.87
2016-05-01 12:00:00	201605022100	12.17
2016-05-01 12:00:00	201605022200	14.58
2016-05-01 12:00:00	201605022300	17.04
2016-05-01 12:00:00	201605030000	18.78
2016-05-01 12:00:00	201605030100	19.51
2016-05-01 12:00:00	201605030200	22.09
2016-05-01 12:00:00	201605030300	36.67
2016-05-01 12:00:00	201605030400	72.61
2016-05-01 12:00:00	201605030500	107.54
2016-05-01 12:00:00	201605030600	157.22
2016-05-01 12:00:00	201605030700	258.93
2016-05-01 12:00:00	201605030800	258.06
2016-05-01 12:00:00	201605030900	189.93
2016-05-01 12:00:00	201605031000	137.24
2016-05-01 12:00:00	201605031100	101.51
2016-05-01 12:00:00	201605031200	76.68
2016-05-01 12:00:00	201605031300	59.27
2016-05-01 12:00:00	201605031400	46.97
2016-05-01 12:00:00	201605031500	38.13
2016-05-01 12:00:00	201605031600	31.65
2016-05-01 12:00:00	201605031700	26.82
2016-05-01 12:00:00	201605031800	23.14
2016-05-01 12:00:00	201605031900	20.31
2016-05-01 12:00:00	201605032000	18.09
2016-05-01 12:00:00	201605032100	16.33
2016-05-01 12:00:00	201605032200	14.92
