lensfiletime_kst	targetdate12digit	class
2016-05-01 9:00:00	201605011300	0
2016-05-01 9:00:00	201605021300	0
2016-05-01 9:00:00	201605030600	1
2016-05-01 9:00:00	201605030700	1
2016-05-01 9:00:00	201605030800	1
2016-05-01 9:00:00	201605030900	1
2016-05-01 9:00:00	201605031000	1
2016-05-01 9:00:00	201605031100	1
2016-05-01 9:00:00	201605031300	0
2016-05-01 21:00:00	201605021300	0
2016-05-01 21:00:00	201605030500	1
2016-05-01 21:00:00	201605030600	1
2016-05-01 21:00:00	201605030700	1
2016-05-01 21:00:00	201605030800	1
2016-05-01 21:00:00	201605030900	1
2016-05-01 21:00:00	201605031000	1
2016-05-01 21:00:00	201605031100	1
2016-05-01 21:00:00	201605031300	0
2016-05-01 21:00:00	201605041300	0
2016-05-02 9:00:00	201605021300	0
2016-05-02 9:00:00	201605030500	1
2016-05-02 9:00:00	201605030600	1
2016-05-02 9:00:00	201605030700	1
2016-05-02 9:00:00	201605030800	1
2016-05-02 9:00:00	201605030900	1
2016-05-02 9:00:00	201605031000	1
2016-05-02 9:00:00	201605031300	0
2016-05-02 9:00:00	201605041300	0
2016-05-02 21:00:00	201605030700	1
2016-05-02 21:00:00	201605030800	1
2016-05-02 21:00:00	201605030900	1
2016-05-02 21:00:00	201605031300	0
2016-05-02 21:00:00	201605041300	0
2016-05-02 21:00:00	201605051300	0
2016-05-03 9:00:00	201605031300	0
2016-05-03 9:00:00	201605041300	0
2016-05-03 9:00:00	201605051300	0
2016-05-03 21:00:00	201605041300	0
2016-05-03 21:00:00	201605051300	0
2016-05-03 21:00:00	201605060600	1
2016-05-03 21:00:00	201605060700	1
2016-05-03 21:00:00	201605060800	1
2016-05-03 21:00:00	201605061300	0
2016-05-04 9:00:00	201605041300	0
2016-05-04 9:00:00	201605051300	0
2016-05-04 9:00:00	201605060600	1
2016-05-04 9:00:00	201605060700	1
2016-05-04 9:00:00	201605060800	1
2016-05-04 9:00:00	201605060900	1
2016-05-04 9:00:00	201605061300	0
2016-05-04 21:00:00	201605051300	0
2016-05-04 21:00:00	201605061300	0
2016-05-04 21:00:00	201605071300	0
2016-05-05 9:00:00	201605051300	0
2016-05-05 9:00:00	201605061300	0
2016-05-05 9:00:00	201605071300	0
2016-05-05 21:00:00	201605061300	0
